GLOBALEVENTID,SQLDATE,ActionGeo_FullName,EventCode,GoldsteinScale,NumArticles,AvgTone,SOURCEURL,City,Date
1300294804.0,20260421.0,"Warsaw, (PL67), Poland",40.0,1.0,5,4.8661800486618,,Warsaw,
1300186795.0,20260421.0,"Warsaw, (PL67), Poland",172.0,-5.0,3,-3.86266094420601,,Warsaw,
1300272075.0,20260421.0,"Warsaw, (PL67), Poland",10.0,0.0,1,-0.76219512195122,,Warsaw,
1300272830.0,20260421.0,"Warsaw, (PL67), Poland",46.0,7.0,2,-0.76219512195122,,Warsaw,
1300294421.0,20260421.0,"Warsaw, (PL67), Poland",10.0,0.0,2,4.8661800486618,,Warsaw,
1300360865.0,20260421.0,"Warsaw, (PL67), Poland",10.0,0.0,2,1.53191489361702,,Warsaw,
1300320923.0,20260421.0,"Warsaw, (PL67), Poland",190.0,-10.0,2,-1.12359550561798,,Warsaw,
1300294903.0,20260421.0,"Warsaw, (PL67), Poland",40.0,1.0,5,4.8661800486618,,Warsaw,
1300179231.0,20260421.0,"Warsaw, (PL67), Poland",129.0,-5.0,4,-1.54738878143133,,Warsaw,
1300294800.0,20260421.0,"Warsaw, (PL67), Poland",57.0,8.0,3,4.8661800486618,,Warsaw,
1300360862.0,20260421.0,"Warsaw, (PL67), Poland",13.0,0.4,2,1.53191489361702,,Warsaw,
1300302157.0,20260421.0,"Warsaw, (PL67), Poland",10.0,0.0,4,-4.7936085219707,,Warsaw,
1300294897.0,20260421.0,"Warsaw, (PL67), Poland",42.0,1.9,2,-3.37837837837837,,Warsaw,
1300294904.0,20260421.0,"Warsaw, (PL67), Poland",57.0,8.0,7,4.8661800486618,,Warsaw,
1300321192.0,20260421.0,"Warsaw, (PL67), Poland",46.0,7.0,2,6.6079295154185,,Warsaw,
1300301141.0,20260421.0,"Warsaw, (PL67), Poland",160.0,-4.0,10,-4.7936085219707,,Warsaw,
1300179229.0,20260421.0,"Warsaw, (PL67), Poland",120.0,-4.0,2,-1.54738878143133,,Warsaw,
1300287151.0,20260421.0,"Warsaw, (PL67), Poland",40.0,1.0,4,-2.96803652968037,,Warsaw,
1300360879.0,20260421.0,"Warsaw, (PL67), Poland",51.0,3.4,7,1.53191489361702,,Warsaw,
1300294905.0,20260421.0,"Warsaw, (PL67), Poland",42.0,1.9,1,-3.37837837837837,,Warsaw,
1300294893.0,20260421.0,"Warsaw, (PL67), Poland",20.0,3.0,4,-1.5527950310559,,Warsaw,
1300287429.0,20260421.0,"Warsaw, (PL67), Poland",40.0,1.0,6,-2.96803652968037,,Warsaw,
1300301839.0,20260421.0,"Warsaw, (PL67), Poland",112.0,-2.0,6,-4.7936085219707,,Warsaw,
1300272799.0,20260421.0,"Warsaw, (PL67), Poland",10.0,0.0,1,-0.76219512195122,,Warsaw,
1300360878.0,20260421.0,"Warsaw, (PL67), Poland",17.0,0.0,2,1.53191489361702,,Warsaw,
1300184690.0,20260421.0,"Warsaw, (PL67), Poland",10.0,0.0,2,1.17416829745597,,Warsaw,
1300294487.0,20260421.0,"Warsaw, (PL67), Poland",43.0,2.8,1,-3.37837837837837,,Warsaw,
1300272802.0,20260421.0,"Warsaw, (PL67), Poland",10.0,0.0,7,-0.76219512195122,,Warsaw,
1300206097.0,20260421.0,"Warsaw, (PL67), Poland",10.0,0.0,2,1.31291028446389,,Warsaw,
1300294902.0,20260421.0,"Warsaw, (PL67), Poland",1241.0,-4.0,2,-3.37837837837837,,Warsaw,
1300294900.0,20260421.0,"Warsaw, (PL67), Poland",81.0,5.0,1,-3.37837837837837,,Warsaw,
1300321193.0,20260421.0,"Warsaw, (PL67), Poland",46.0,7.0,4,6.6079295154185,,Warsaw,
1300294907.0,20260421.0,"Warsaw, (PL67), Poland",1241.0,-4.0,1,-3.37837837837837,,Warsaw,
1300294422.0,20260421.0,"Warsaw, (PL67), Poland",10.0,0.0,8,4.8661800486618,,Warsaw,
1300272633.0,20260421.0,"Warsaw, (PL67), Poland",10.0,0.0,2,-0.76219512195122,,Warsaw,
1300294894.0,20260421.0,"Warsaw, (PL67), Poland",20.0,3.0,1,-1.5527950310559,,Warsaw,
1300287427.0,20260421.0,"Warsaw, (PL67), Poland",40.0,1.0,4,-2.96803652968037,,Warsaw,
1300360822.0,20260421.0,"Warsaw, (PL67), Poland",10.0,0.0,6,1.53191489361702,,Warsaw,
1300360866.0,20260421.0,"Warsaw, (PL67), Poland",51.0,3.4,1,1.53191489361702,,Warsaw,
1300249696.0,20260421.0,"Warsaw, (PL67), Poland",120.0,-4.0,10,-3.01724137931035,,Warsaw,
1300301842.0,20260421.0,"Warsaw, (PL67), Poland",181.0,-9.0,5,-4.7936085219707,,Warsaw,
1300302161.0,20260421.0,"Warsaw, (PL67), Poland",110.0,-2.0,6,-4.7936085219707,,Warsaw,
1300294484.0,20260421.0,"Warsaw, (PL67), Poland",43.0,2.8,2,-3.37837837837837,,Warsaw,
1300301840.0,20260421.0,"Warsaw, (PL67), Poland",181.0,-9.0,1,-4.7936085219707,,Warsaw,
1300187770.0,20260421.0,"Warsaw, (PL67), Poland",172.0,-5.0,2,-3.86266094420601,,Warsaw,
1300302159.0,20260421.0,"Warsaw, (PL67), Poland",110.0,-2.0,4,-4.7936085219707,,Warsaw,
1300294402.0,20260421.0,"Warsaw, (PL67), Poland",57.0,8.0,3,4.8661800486618,,Warsaw,
1300272747.0,20260421.0,"Warsaw, (PL67), Poland",10.0,0.0,1,-0.76219512195122,,Warsaw,
1300183756.0,20260421.0,"Warsaw, (PL67), Poland",36.0,4.0,4,1.24353929095993,,Warsaw,
1300272414.0,20260421.0,"Warsaw, (PL67), Poland",46.0,7.0,1,-0.76219512195122,,Warsaw,
1300360660.0,20260421.0,"Warsaw, (PL67), Poland",17.0,0.0,10,1.53191489361702,,Warsaw,
1300272800.0,20260421.0,"Warsaw, (PL67), Poland",10.0,0.0,3,-0.76219512195122,,Warsaw,
1300294908.0,20260421.0,"Warsaw, (PL67), Poland",1241.0,-4.0,4,-3.37837837837837,,Warsaw,
1300302160.0,20260421.0,"Warsaw, (PL67), Poland",110.0,-2.0,10,-4.7936085219707,,Warsaw,
1300294805.0,20260421.0,"Warsaw, (PL67), Poland",57.0,8.0,7,4.8661800486618,,Warsaw,
1300360861.0,20260421.0,"Warsaw, (PL67), Poland",51.0,3.4,5,1.53191489361702,,Warsaw,
1300360858.0,20260421.0,"Warsaw, (PL67), Poland",17.0,0.0,2,1.53191489361702,,Warsaw,
1300152202.0,20260420.0,"Warsaw, (PL67), Poland",10.0,0.0,1,-0.32362459546926,,Warsaw,
1300103753.0,20260420.0,"Warsaw, (PL67), Poland",10.0,0.0,2,-0.26737967914439,,Warsaw,
1300144715.0,20260420.0,"Warsaw, (PL67), Poland",13.0,0.4,8,-0.33167495854063,,Warsaw,
1300070373.0,20260420.0,"Warsaw, (PL67), Poland",10.0,0.0,2,-6.65760869565218,,Warsaw,
1300164439.0,20260420.0,"Warsaw, (PL67), Poland",43.0,2.8,1,-4.60652591170826,,Warsaw,
1300101660.0,20260420.0,"Warsaw, (PL67), Poland",40.0,1.0,1,-1.46341463414634,,Warsaw,
1300144725.0,20260420.0,"Warsaw, (PL67), Poland",10.0,0.0,2,-0.33167495854063,,Warsaw,
1300153107.0,20260420.0,"Warsaw, (PL67), Poland",10.0,0.0,7,-0.32362459546926,,Warsaw,
1300121503.0,20260420.0,"Warsaw, (PL67), Poland",40.0,1.0,20,0.22754671488849,,Warsaw,
1300101657.0,20260420.0,"Warsaw, (PL67), Poland",40.0,1.0,1,-1.46341463414634,,Warsaw,
1300081359.0,20260420.0,"Warsaw, (PL67), Poland",20.0,3.0,1,-1.52838427947598,,Warsaw,
1300070374.0,20260420.0,"Warsaw, (PL67), Poland",10.0,0.0,2,-6.65760869565218,,Warsaw,
1300066060.0,20260420.0,"Warsaw, (PL67), Poland",42.0,1.9,1,1.75879396984924,,Warsaw,
1300101694.0,20260420.0,"Warsaw, (PL67), Poland",42.0,1.9,2,-1.46341463414634,,Warsaw,
1300102999.0,20260420.0,"Warsaw, (PL67), Poland",40.0,1.0,2,-0.26737967914439,,Warsaw,
1300121008.0,20260420.0,"Warsaw, (PL67), Poland",10.0,0.0,10,0.22754671488849,,Warsaw,
1300108120.0,20260420.0,"Warsaw, (PL67), Poland",111.0,-2.0,3,-6.58436213991769,,Warsaw,
1300100924.0,20260420.0,"Warsaw, (PL67), Poland",40.0,1.0,6,-1.46341463414634,,Warsaw,
1300144716.0,20260420.0,"Warsaw, (PL67), Poland",13.0,0.4,2,-0.33167495854063,,Warsaw,
1300121011.0,20260420.0,"Warsaw, (PL67), Poland",40.0,1.0,8,0.22754671488849,,Warsaw,
1300152886.0,20260420.0,"Warsaw, (PL67), Poland",10.0,0.0,2,-0.32362459546926,,Warsaw,
1300101164.0,20260420.0,"Warsaw, (PL67), Poland",43.0,2.8,2,-1.46341463414634,,Warsaw,
1300121002.0,20260420.0,"Warsaw, (PL67), Poland",10.0,0.0,3,0.22754671488849,,Warsaw,
1300080383.0,20260420.0,"Warsaw, (PL67), Poland",46.0,7.0,1,-1.52838427947598,,Warsaw,
1300070401.0,20260420.0,"Warsaw, (PL67), Poland",120.0,-4.0,1,-6.65760869565218,,Warsaw,
1300069940.0,20260420.0,"Warsaw, (PL67), Poland",111.0,-2.0,3,-6.65760869565218,,Warsaw,
1300121006.0,20260420.0,"Warsaw, (PL67), Poland",36.0,4.0,1,-1.68776371308017,,Warsaw,
1300108109.0,20260420.0,"Warsaw, (PL67), Poland",111.0,-2.0,4,-6.58436213991769,,Warsaw,
1300121500.0,20260420.0,"Warsaw, (PL67), Poland",40.0,1.0,1,-1.68776371308017,,Warsaw,
1300070409.0,20260420.0,"Warsaw, (PL67), Poland",17.0,0.0,2,-6.65760869565218,,Warsaw,
1300121499.0,20260420.0,"Warsaw, (PL67), Poland",40.0,1.0,3,0.22754671488849,,Warsaw,
1300120994.0,20260420.0,"Warsaw, (PL67), Poland",36.0,4.0,1,-1.68776371308017,,Warsaw,
1300164442.0,20260420.0,"Warsaw, (PL67), Poland",42.0,1.9,1,-4.60652591170826,,Warsaw,
1300145157.0,20260420.0,"Warsaw, (PL67), Poland",10.0,0.0,3,-0.33167495854063,,Warsaw,
1300163792.0,20260420.0,"Warsaw, (PL67), Poland",42.0,1.9,1,-4.60652591170826,,Warsaw,
1300153105.0,20260420.0,"Warsaw, (PL67), Poland",10.0,0.0,3,-0.32362459546926,,Warsaw,
1300163793.0,20260420.0,"Warsaw, (PL67), Poland",42.0,1.9,5,-4.60652591170826,,Warsaw,
1300101656.0,20260420.0,"Warsaw, (PL67), Poland",36.0,4.0,1,-1.46341463414634,,Warsaw,
1300164453.0,20260420.0,"Warsaw, (PL67), Poland",17.0,0.0,1,-4.60652591170826,,Warsaw,
1300152190.0,20260420.0,"Warsaw, (PL67), Poland",40.0,1.0,5,-0.32362459546926,,Warsaw,
1300108119.0,20260420.0,"Warsaw, (PL67), Poland",111.0,-2.0,3,-6.58436213991769,,Warsaw,
1300100923.0,20260420.0,"Warsaw, (PL67), Poland",40.0,1.0,3,-1.57558917361326,,Warsaw,
1300107835.0,20260420.0,"Warsaw, (PL67), Poland",111.0,-2.0,5,-6.58436213991769,,Warsaw,
1300108133.0,20260420.0,"Warsaw, (PL67), Poland",12.0,-0.4,8,2.33676975945017,,Warsaw,
1300108370.0,20260420.0,"Warsaw, (PL67), Poland",55.0,7.0,2,-6.58436213991769,,Warsaw,
1300103754.0,20260420.0,"Warsaw, (PL67), Poland",40.0,1.0,2,-0.26737967914439,,Warsaw,
1300145156.0,20260420.0,"Warsaw, (PL67), Poland",40.0,1.0,2,-0.33167495854063,,Warsaw,
1300101655.0,20260420.0,"Warsaw, (PL67), Poland",40.0,1.0,2,-1.46341463414634,,Warsaw,
1300121501.0,20260420.0,"Warsaw, (PL67), Poland",30.0,4.0,20,0.22754671488849,,Warsaw,
1300121003.0,20260420.0,"Warsaw, (PL67), Poland",10.0,0.0,1,-1.68776371308017,,Warsaw,
1300121010.0,20260420.0,"Warsaw, (PL67), Poland",40.0,1.0,3,0.22754671488849,,Warsaw,
1300096406.0,20260420.0,"Warsaw, (PL67), Poland",26.0,4.0,2,0.0,,Warsaw,
1300152191.0,20260420.0,"Warsaw, (PL67), Poland",40.0,1.0,5,-0.32362459546926,,Warsaw,
1300121504.0,20260420.0,"Warsaw, (PL67), Poland",40.0,1.0,8,0.22754671488849,,Warsaw,
1300120649.0,20260420.0,"Warsaw, (PL67), Poland",14.0,0.0,4,-1.68776371308017,,Warsaw,
1300121502.0,20260420.0,"Warsaw, (PL67), Poland",332.0,5.2,20,0.22754671488849,,Warsaw,
1300152975.0,20260420.0,"Warsaw, (PL67), Poland",10.0,0.0,1,-0.32362459546926,,Warsaw,
1300100913.0,20260420.0,"Warsaw, (PL67), Poland",42.0,1.9,1,-1.46341463414634,,Warsaw,
1300140841.0,20260420.0,"Warsaw, (PL67), Poland",46.0,7.0,2,1.18265440210249,,Warsaw,
1300066237.0,20260420.0,"Warsaw, (PL67), Poland",42.0,1.9,6,1.75879396984924,,Warsaw,
1300153104.0,20260420.0,"Warsaw, (PL67), Poland",10.0,0.0,1,-0.32362459546926,,Warsaw,
1300103755.0,20260420.0,"Warsaw, (PL67), Poland",50.0,3.5,1,-0.26737967914439,,Warsaw,
1300070372.0,20260420.0,"Warsaw, (PL67), Poland",111.0,-2.0,7,-6.65760869565218,,Warsaw,
1300070368.0,20260420.0,"Warsaw, (PL67), Poland",10.0,0.0,2,-6.65760869565218,,Warsaw,
1300152198.0,20260420.0,"Warsaw, (PL67), Poland",40.0,1.0,5,-0.32362459546926,,Warsaw,
1300164443.0,20260420.0,"Warsaw, (PL67), Poland",42.0,1.9,3,-4.60652591170826,,Warsaw,
1300081310.0,20260420.0,"Warsaw, (PL67), Poland",10.0,0.0,1,-1.52838427947598,,Warsaw,
1300066239.0,20260420.0,"Warsaw, (PL67), Poland",43.0,2.8,4,1.75879396984924,,Warsaw,
1300121009.0,20260420.0,"Warsaw, (PL67), Poland",10.0,0.0,1,-1.68776371308017,,Warsaw,
1300056473.0,20260420.0,"Warsaw, (PL67), Poland",51.0,3.4,6,-1.76106615897191,,Warsaw,
1300120648.0,20260420.0,"Warsaw, (PL67), Poland",14.0,0.0,6,-1.68776371308017,,Warsaw,
1300070367.0,20260420.0,"Warsaw, (PL67), Poland",111.0,-2.0,2,-6.65760869565218,,Warsaw,
1300101661.0,20260420.0,"Warsaw, (PL67), Poland",40.0,1.0,5,-1.46341463414634,,Warsaw,
1300049029.0,20260420.0,"Warsaw, (PL67), Poland",50.0,3.5,2,0.0,,Warsaw,
1300153108.0,20260420.0,"Warsaw, (PL67), Poland",10.0,0.0,1,-0.32362459546926,,Warsaw,
1300055986.0,20260420.0,"Warsaw, (PL67), Poland",42.0,1.9,4,-1.76106615897191,,Warsaw,
1300066059.0,20260420.0,"Warsaw, (PL67), Poland",42.0,1.9,3,1.75879396984924,,Warsaw,
1300107235.0,20260420.0,"Warsaw, (PL67), Poland",112.0,-2.0,5,-6.58436213991769,,Warsaw,
1300141084.0,20260420.0,"Warsaw, (PL67), Poland",46.0,7.0,2,1.18265440210249,,Warsaw,
1300070408.0,20260420.0,"Warsaw, (PL67), Poland",40.0,1.0,1,-6.65760869565218,,Warsaw,
1300164456.0,20260420.0,"Warsaw, (PL67), Poland",42.0,1.9,1,-4.60652591170826,,Warsaw,
1300163752.0,20260419.0,"Warsaw, (PL67), Poland",17.0,0.0,1,-4.60652591170826,,Warsaw,
1299990222.0,20260419.0,"Warsaw, (PL67), Poland",20.0,3.0,5,-0.0851063829787204,,Warsaw,
1299988031.0,20260419.0,"Warsaw, (PL67), Poland",17.0,0.0,2,-1.95627157652474,,Warsaw,
1299990305.0,20260419.0,"Warsaw, (PL67), Poland",43.0,2.8,5,-0.0851063829787204,,Warsaw,
